BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
C4F7N                                                           
cross_section_C4F7N.txt
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction C4F7N                       0.2000    
A22    Mole fraction CO2                         0.8000    
          R#      A1         A16         A17    
           1   1.000       0.000       200.0    
           2   1.039       3.000      0.4193    
           3   1.079       3.000      0.4193    
           4   1.121       3.000      0.4193    
           5   1.165       3.000      0.4193    
           6   1.210       3.000      0.4193    
           7   1.258       3.000      0.4193    
           8   1.307       3.000      0.4193    
           9   1.357       3.000      0.4193    
          10   1.410       3.000      0.4193    
          11   1.465       3.000      0.4193    
          12   1.522       3.000      0.4193    
          13   1.581       3.000      0.4193    
          14   1.643       3.000      0.4193    
          15   1.707       3.000      0.4193    
          16   1.773       3.000      0.4193    
          17   1.843       3.000      0.4193    
          18   1.914       3.000      0.4193    
          19   1.989       3.000      0.4193    
          20   2.066       3.000      0.4193    
          21   2.147       3.000      0.4193    
          22   2.230       3.000      0.4193    
          23   2.317       3.000      0.4993    
          24   2.407       3.000      0.4993    
          25   2.501       3.000      0.4993    
          26   2.598       0.000       200.0    
          27   2.700       3.000      0.6211    
          28   2.805       3.000      0.6211    
          29   2.914       3.000      0.6211    
          30   3.027       3.000      0.7398    
          31   3.145       3.000      0.7398    
          32   3.268       3.000      0.7398    
          33   3.395       3.000      0.7398    
          34   3.527       3.000      0.7398    
          35   3.664       3.000      0.7398    
          36   3.807       3.000      0.8811    
          37   3.955       3.000      0.8811    
          38   4.109       3.000      0.8811    
          39   4.269       3.000      0.8811    
